Common Name	PubChem CID	PubChem AID	SMILES String	ChemDraw File Name	Molecular Weight	Kd	Kd STD	Unit	Protein	DOI
	118707321	1181394	CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC\2=CC3=CC=CC=C3O/C2=N\S(=O)(=O)C4=CC=CC=C4)O	118707321	491.5	>650	0	μM	Galectin-1	https://doi.org/10.1016/j.bmcl.2014.05.063
	118707322	1181394	CC(=O)O[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1OC)CO)O)OCC\2=CC3=CC=CC=C3O/C2=N\S(=O)(=O)C4=CC=CC=C4	118707322	533.5	>4500	0	μM	Galectin-1	https://doi.org/10.1016/j.bmcl.2014.05.063
	118707323	1181394	CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC3=CC=CC=C3OC2=O)O	118707323	352.3	>1900	0	μM	Galectin-1	https://doi.org/10.1016/j.bmcl.2014.05.063
	137631879	1472916	C1=C(C=C(C=C1F)F)C2=CN(N=N2)[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)SS[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)N5C=C(N=N5)C6=CC(=CC(=C6)F)F)O)CO)O	137631879	716.7	0.063	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137632583	1472916	C1=CC(=CC=C1C2=CN(N=N2)[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)SS[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)N5C=C(N=N5)C6=CC=C(C=C6)F)O)CO)O)F	137632583	680.7	0.027	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137633300	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=CC(=C4)F)F)O	137633300	449.5	>290	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137634398	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC=C(C=C4)Cl)O	137634398	447.9	>680	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137636008	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=CC=C4)Cl)O	137636008	447.9	100	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137636032	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC=CC=C4F)O	137636032	431.5	>190	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137636038	1472916	C1=CC(=C(C2=C1OC(=O)C(=C2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)SS[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)N5C=C(N=N5)C6=CC(=C(C(=C6)F)F)F)O)CO)O)F)F	137636038	765.7	>340	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	7315241	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O	7315241	286.35	>1100	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137636485	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C=C4)Cl)Cl)O	137636485	482.4	>120	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137639900	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C=C4)F)C)O	137639900	445.5	>170	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137644984	1472916	C1=CC(=CC(=C1)F)C2=CN(N=N2)[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)SS[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)N5C=C(N=N5)C6=CC(=CC=C6)F)O)CO)O	137644984	680.7	0.012	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137645144	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C=C4)F)F)O	137645144	449.5	>530	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137645903	1472916	C1=CC(=CC(=C1)F)C2=CN(N=N2)[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)SS[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)OCC5=CC6=C(C=CC(=C6F)F)OC5=O)O)CO)O	137645903	729.7	>260	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137648893	1472916	C1=CC(=C(C2=C1OC(=O)C(=C2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)SS[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)OCC5=CC6=C(C=CC(=C6F)F)OC5=O)O)CO)O)F)F	137648893	778.7	3.9	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	54768329	1472916	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)SS[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O	54768329	390.4	24	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137650490	1472916	CCCCNC(=O)C1=CN(N=N1)[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)SS[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)N4C=C(N=N4)C5=CC(=C(C(=C5)F)F)F)O)CO)O	137650490	721.7	63	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137651168	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC=C(C=C4)Br)O	137651168	492.4	>300	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137654864	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=CC=C4)F)O	137654864	431.5	>180	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137655036	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC(=C(C(=C4)F)F)F)O	137655036	467.5	>180	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137655629	1472916	CCCCNC(=O)C1=CN(N=N1)[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)SS[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OCC4=CC5=C(C=CC(=C5F)F)OC4=O)O)CO)O	137655629	734.7	>660	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137656955	1472916	C1=C(C=C(C(=C1F)F)F)C2=CN(N=N2)[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)SS[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)N5C=C(N=N5)C6=CC(=C(C(=C6)F)F)F)O)CO)O	137656955	752.7	0.069	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137657709	1472916	C1=CC(=C(C=C1C2=CN(N=N2)[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)SS[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)N5C=C(N=N5)C6=CC(=C(C=C6)F)F)O)CO)O)F)F	137657709	716.7	0.01	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137661174	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC=CC=C4)O	137661174	413.5	>220	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137661718	1472916	CC1=CC=C(C=C1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)N3C=C(N=N3)C4=CC=C(C=C4)F)O	137661718	431.5	>140	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	137662171	1472916	CCCCNC(=O)C1=CN(N=N1)[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)SS[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)N4C=C(N=N4)C(=O)NCCCC)O)CO)O	137662171	690.8	0.23	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.7b01626
	94214	1541786	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O	94214	194.18	>10000	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155510379	1541786	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=CC=C2)OC)O	155510379	299.32	>1300	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155513255	1541786	COC1=CC=C(C=C1)N[C@H]2[C@H]([C@H](O[C@@H]([C@@H]2O)SC3=CC(=C(C=C3)Cl)Cl)CO)O	155513255	446.3	>120	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155518319	1541786	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=C(C=C2)F)F)O	155518319	305.27	>1500	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155518666	1541786	CC1=C(C=C(C=C1)N[C@H]2[C@H]([C@H](O[C@@H]([C@@H]2O)SC3=CC(=C(C=C3)Cl)Cl)CO)O)C	155518666	444.4	44	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155519777	1541786	CC1=C(C=C(C=C1)N[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)OC)CO)O)C	155519777	297.35	>750	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155530852	1541786	C1=CC(=CC(=C1)Cl)N[C@H]2[C@H]([C@H](O[C@@H]([C@@H]2O)SC3=CC(=C(C=C3)Cl)Cl)CO)O	155530852	450.8	46	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155537069	1541786	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC=C(C=C2)OC)O	155537069	299.32	>1200	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155538998	1541786	CC1=CC(=CC=C1)N[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)OC)CO)O	155538998	283.32	>850	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	7568545	1541786	CO[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)CO)O)O)O	7568545	194.18	>10000	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155549274	1541786	CO[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)CO)O)NC2=CC(=C(C=C2)F)F)O	155549274	305.27	>1800	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155554378	1541786	CC1=CC=C(C=C1)N[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)OC)CO)O	155554378	283.32	>310	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155554696	1541786	COC1=CC=CC(=C1)N[C@H]2[C@H]([C@H](O[C@@H]([C@@H]2O)SC3=CC(=C(C=C3)Cl)Cl)CO)O	155554696	446.3	41	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155554894	1541786	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC=CC=C2)O	155554894	269.29	>1200	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	155563008	1541786	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=CC=C2)Cl)O	155563008	303.74	>1400	0	μM	Galectin-1	https://doi.org/10.1021/acsmedchemlett.9b00396
	94214	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O	94214	194.18	>10000	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155510726	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC(=CC=C3)F)O	155510726	395.4	>1800	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155512351	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC=CC(=C3)C4=CC=CC=C4)O	155512351	453.5	>1000	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155515859	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC=CC=C3F)O	155515859	395.4	>430	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155520645	1576030	CC1=CC(=CC=C1)C2=NC(=NC(=C2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)OC)CO)O)N	155520645	391.4	>200	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155523170	1576030	CC1=CC=C(C=C1)C2=NC(=NC(=C2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)OC)CO)O)N	155523170	391.4	>900	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155523559	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC=C(C=C3)F)O	155523559	395.4	>1100	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155527079	1576030	C1=CC(=CC=C1C2=NC(=NC(=C2)CO[C@H]3[C@H]([C@H](O[C@@H]([C@@H]3O)SC4=CC(=C(C=C4)Cl)Cl)CO)O)N)Cl	155527079	558.9	>500	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155538005	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC=C(C=C3)Br)O	155538005	456.3	>770	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155538081	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC=C(C=C3)C4=CC=CC=C4)O	155538081	453.5	>900	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155539183	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC4=CC=CC=C4C=C3)O	155539183	427.4	>900	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155551949	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC=C(C=C3)Cl)O	155551949	411.8	>900	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155557796	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC=CC4=CC=CC=C43)O	155557796	427.4	>1300	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155560737	1576030	CC(C)(C)C1=CC=C(C=C1)C2=NC(=NC(=C2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)OC)CO)O)N	155560737	433.5	>1400	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155565083	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC(=CC=C3)Cl)O	155565083	411.8	>1900	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	155566207	1576030	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OCC2=CC(=NC(=N2)N)C3=CC=CC=C3)O	155566207	377.4	>1400	0	μM	Galectin-1	https://doi.org/10.1039/C9MD00183B
	44588155	1628952	C1=CC=C2C=C(C=CC2=C1)C(=O)N[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)S[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)NC(=O)C5=CC6=CC=CC=C6C=C5)O)CO)O	44588155	664.7	9.6	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.6b00957
	71666730	1628952	C1=CC=C2C(=C1)C=C(C(=O)O2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)S[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)OCC5=CC6=CC=CC=C6OC5=O)O)CO)O	71666730	674.7	16	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.6b00957
	71666586	1628952	COC1=CC2=C(C=C1)C=C(C(=O)O2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)S[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)OCC5=CC6=C(C=C(C=C6)OC)OC5=O)O)CO)O	71666586	734.7	9.9	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.6b00957
	117690143	1628952	C1=CC2=C(C=C1Cl)C=C(C(=O)O2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)S[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)OCC5=CC6=C(C=CC(=C6)Cl)OC5=O)O)CO)O	117690143	743.6	21	0	μM	Galectin-1	https://doi.org/10.1021/acs.jmedchem.6b00957
	44561021	343833	CC1=CC=C(C=C1)C(=O)O[C@H]2[C@H]([C@H](O[C@H]([C@H]2OC(=O)C)OC)CO)O	44561021	354.4	>4000	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2008.05.066
	49797472	343833	CCN(CC)CC.CC1=CC=C(C=C1)C(=O)O[C@H]2[C@H]([C@H](O[C@H]([C@H]2OS(=O)(=O)O)OC)CO)O	49797472	493.6	>4000	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2008.05.066
	49797473	343833	CCN(CC)CC.CC1=CC=C(C=C1)C(=O)O[C@H]2[C@H]([C@H](O[C@H]([C@H]2O[P+](=O)O)OC)CO)O	49797473	476.5	>1500	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2008.05.066
	49797475	343833	CCN(CC)CC.CC1=CC=C(C=C1)COP(=O)(O)O[C@H]2[C@H]([C@H]([C@H](O[C@H]2OC)CO)O)OC(=O)C3=CC=C(C=C3)C	49797475	597.6	>4600	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2008.05.066
	49797477	343833	CCN(CC)CC.CC1=CC=C(C=C1)C(=O)O[C@H]2[C@H]([C@H](O[C@H]([C@H]2OP(=O)(O)OC)OC)CO)O	49797477	507.5	>4000	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2008.05.066
	94214	343833	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O	94214	194.18	>13000	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2008.05.066
	7568471	343833	CO[C@H]1[C@H]([C@H]([C@H]([C@H](O1)CO)O)O)O	7568471	194.18	>10000	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2008.05.066
	44561586	343833	CC1=CC=C(C=C1)C(=O)O[C@H]2[C@H]([C@H](O[C@H]([C@H]2OC(=O)C3=CC=C(C=C3)C)OC)CO)O	44561586	430.4	>4000	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2008.05.066
	94214	1541787	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O	94214	194.18	13000	0	μM	Galectin-2	https://doi.org/10.1021/acsmedchemlett.9b00396
	155510379	1541787	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=CC=C2)OC)O	155510379	299.32	>1400	0	μM	Galectin-2	https://doi.org/10.1021/acsmedchemlett.9b00396
	155518319	1541787	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=C(C=C2)F)F)O	155518319	305.27	>3200	0	μM	Galectin-2	https://doi.org/10.1021/acsmedchemlett.9b00396
	155538998	1541787	CC1=CC(=CC=C1)N[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)OC)CO)O	155538998	283.32	>5200	0	μM	Galectin-2	https://doi.org/10.1021/acsmedchemlett.9b00396
	7568545	1541787	CO[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)CO)O)O)O	7568545	194.18	>10000	0	μM	Galectin-2	https://doi.org/10.1021/acsmedchemlett.9b00396
	155563008	1541787	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=CC=C2)Cl)O	155563008	303.74	>3500	0	μM	Galectin-2	https://doi.org/10.1021/acsmedchemlett.9b00396
	119138	1628953	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O	119138	358.36	>340	0	μM	Galectin-2	https://doi.org/10.1021/acs.jmedchem.6b00957
	71666730	1628953	C1=CC=C2C(=C1)C=C(C(=O)O2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)S[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)OCC5=CC6=CC=CC=C6OC5=O)O)CO)O	71666730	674.7	6.9	0	μM	Galectin-2	https://doi.org/10.1021/acs.jmedchem.6b00957
	53316935	567913	C1[C@H]([C@@H]([C@H](O[C@@H]1OCCCCCCCCCCCCS)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O	53316935	526.7	0.3	0	μM	Galectin-2	https://doi.org/10.1016/j.bmcl.2010.12.049
	53316935	567913	C1[C@H]([C@@H]([C@H](O[C@@H]1OCCCCCCCCCCCCS)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O	53316935	526.7	0.304	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	53324865	567913	C(CCCCCCS)CCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)OC2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O	53324865	542.7	0.14	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	53324865	567913	C(CCCCCCS)CCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)OC2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O	53324865	542.7	0.136	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	52918117	567913	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OCCCCCCCCCCCCS)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O	52918117	583.7	1.26	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	94214	1541789	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O	94214	194.18	>6600	0	μM	Galectin-4	https://doi.org/10.1021/acsmedchemlett.9b00396
	155510379	1541789	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=CC=C2)OC)O	155510379	299.32	>3100	0	μM	Galectin-4	https://doi.org/10.1021/acsmedchemlett.9b00396
	155537069	1541789	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC=C(C=C2)OC)O	155537069	299.32	>1200	0	μM	Galectin-4	https://doi.org/10.1021/acsmedchemlett.9b00396
	155554378	1541789	CC1=CC=C(C=C1)N[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)OC)CO)O	155554378	283.32	>2300	0	μM	Galectin-4	https://doi.org/10.1021/acsmedchemlett.9b00396
	155563008	1541789	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=CC=C2)Cl)O	155563008	303.74	>1800	0	μM	Galectin-4	https://doi.org/10.1021/acsmedchemlett.9b00396
	155527079	1576035	C1=CC(=CC=C1C2=NC(=NC(=C2)CO[C@H]3[C@H]([C@H](O[C@@H]([C@@H]3O)SC4=CC(=C(C=C4)Cl)Cl)CO)O)N)Cl	155527079	558.9	>500	0	μM	Galectin-4	https://doi.org/10.1039/C9MD00183B
	119138	1628955	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)S[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)O	119138	358.36	>410	0	μM	Galectin-4	https://doi.org/10.1021/acs.jmedchem.6b00957
	71666730	1628955	C1=CC=C2C(=C1)C=C(C(=O)O2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)S[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)OCC5=CC6=CC=CC=C6OC5=O)O)CO)O	71666730	674.7	41	0	μM	Galectin-4	https://doi.org/10.1021/acs.jmedchem.6b00957
	71666586	1628955	COC1=CC2=C(C=C1)C=C(C(=O)O2)CO[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)S[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)OCC5=CC6=C(C=C(C=C6)OC)OC5=O)O)CO)O	71666586	734.7	>140	0	μM	Galectin-4	https://doi.org/10.1021/acs.jmedchem.6b00957
	53316935	567914	C1[C@H]([C@@H]([C@H](O[C@@H]1OCCCCCCCCCCCCS)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O	53316935	526.7	0.058	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	53324865	567914	C(CCCCCCS)CCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)OC2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O	53324865	542.7	0.085	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	53324865	567914	C(CCCCCCS)CCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)OC2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O	53324865	542.7	0.0847	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	52918117	567914	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OCCCCCCCCCCCCS)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O	52918117	583.7	0.78	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	52918117	567914	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OCCCCCCCCCCCCS)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O	52918117	583.7	0.777	0	μM	Galectin-4	https://doi.org/10.1016/j.bmcl.2010.12.049
	94214	1541790	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O	94214	194.18	>10000	0	μM	Galectin-4	https://doi.org/10.1021/acsmedchemlett.9b00396
	155510379	1541790	CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)NC2=CC(=CC=C2)OC)O	155510379	299.32	>10000	0	μM	Galectin-4	https://doi.org/10.1021/acsmedchemlett.9b00396
